% 1. Title: Open Loop Data
%
% 2. Comments:
%    - The first 3 attributes are:
%      - sid: subject id
%      - group: (exploration style) F = free exploration, S = strategic exploration
%      - cond: (informedness condition) i- = uninformed, i+ = informed
%    - After, there are 4 similar attribute groups (one group per task), each consisting of:
%      - Raw and ranked PC scores (#_pc15, #_pc10, #_pc5; #_rpc15, #_rpc10, #_rpc5)
%	     - 5, 10, and 15 are the numbers of trials over which PC was calculated 
%      - Two learning progress measures (#_lp1, #_lp2)
%	     - lp1 is the difference between PC over the last and the first 5 trials
%		 - lp2 is the 
%      - Raw and ranked learnability ratings (#_lrn, #_rlrn)
%      - '#' encodes task identity: 1 = 1D, 2 = I1D, 3 = 2D, 4 = R
%    - The last attribute contains the first free play choice that the subject made
%    - Thus for each subject, there are 3 + (4 * 10) + 1 = 44 attributes
%
%
@RELATION open_loop

@ATTRIBUTE sid          INTEGER
@ATTRIBUTE group        {F, S}
@ATTRIBUTE cond         {i-, i+}
@ATTRIBUTE 1_pc15       NUMERIC
@ATTRIBUTE 1_pc10       NUMERIC
@ATTRIBUTE 1_pc5        NUMERIC
@ATTRIBUTE 1_rpc15      INTEGER
@ATTRIBUTE 1_rpc10      INTEGER
@ATTRIBUTE 1_rpc5       INTEGER
@ATTRIBUTE 1_lp1        NUMERIC
@ATTRIBUTE 1_lp2        NUMERIC
@ATTRIBUTE 1_lrn        NUMERIC
@ATTRIBUTE 1_rlrn       INTEGER
@ATTRIBUTE 2_pc15       NUMERIC
@ATTRIBUTE 2_pc10       NUMERIC
@ATTRIBUTE 2_pc5        NUMERIC
@ATTRIBUTE 2_rpc15      INTEGER
@ATTRIBUTE 2_rpc10      INTEGER
@ATTRIBUTE 2_rpc5       INTEGER
@ATTRIBUTE 2_lp1        NUMERIC
@ATTRIBUTE 2_lp2        NUMERIC
@ATTRIBUTE 2_lrn        NUMERIC
@ATTRIBUTE 2_rlrn       INTEGER
@ATTRIBUTE 3_pc15       NUMERIC
@ATTRIBUTE 3_pc10       NUMERIC
@ATTRIBUTE 3_pc5        NUMERIC
@ATTRIBUTE 3_rpc15      INTEGER
@ATTRIBUTE 3_rpc10      INTEGER
@ATTRIBUTE 3_rpc5       INTEGER
@ATTRIBUTE 3_lp1        NUMERIC
@ATTRIBUTE 3_lp2        NUMERIC
@ATTRIBUTE 3_lrn        NUMERIC
@ATTRIBUTE 3_rlrn       INTEGER
@ATTRIBUTE 4_pc15       NUMERIC
@ATTRIBUTE 4_pc10       NUMERIC
@ATTRIBUTE 4_pc5        NUMERIC
@ATTRIBUTE 4_rpc15      INTEGER
@ATTRIBUTE 4_rpc10      INTEGER
@ATTRIBUTE 4_rpc5       INTEGER
@ATTRIBUTE 4_lp1        NUMERIC
@ATTRIBUTE 4_lp2        NUMERIC
@ATTRIBUTE 4_lrn        NUMERIC
@ATTRIBUTE 4_rlrn       INTEGER
@ATTRIBUTE choice       {1D, I1D, 2D, R}

@DATA
20,F,i-,0.8666666666666667,1.0,1.0,4,4,4,0.4,0.04642857142857143,2.0,1,0.7333333333333333,0.7,0.8,3,3,4,0.0,0.0035714285714285657,6.0,3,0.6666666666666666,0.6,0.6,3,3,3,-0.20000000000000007,-0.007142857142857131,8.0,4,0.4,0.4,0.6,2,2,3,0.19999999999999996,0.007142857142857159,8.0,4, I1D
21,F,i-,0.7333333333333333,0.7,0.8,3,3,4,0.0,0.003571428571428564,8.0,4,0.8,0.9,1.0,4,4,4,0.4,0.04285714285714288,6.0,3,0.5333333333333333,0.5,0.6,3,3,3,0.0,0.01785714285714286,10.0,4,0.8,0.8,1.0,4,4,4,0.19999999999999996,0.017857142857142877,8.0,4, 2D
22,F, i+,0.7333333333333333,0.8,0.8,3,4,4,0.20000000000000007,0.017857142857142877,4.0,2,0.8,0.8,0.6,4,4,3,-0.20000000000000007,-0.003571428571428562,5.0,2,0.3333333333333333,0.3,0.2,2,2,1,-0.2,-0.025000000000000015,8.0,4,0.6,0.7,0.8,3,3,4,0.4,0.032142857142857154,5.0,2, R
23,F,i-,1.0,1.0,1.0,4,4,4,0.0,1.3877787807814457e-17,5.0,3,0.6,0.5,0.6,3,3,3,-0.20000000000000007,-0.03571428571428571,7.0,3,0.3333333333333333,0.3,0.2,2,2,1,-0.2,-0.010714285714285728,9.0,4,0.4666666666666667,0.5,0.6,2,3,3,0.19999999999999996,0.007142857142857159,5.0,3, I1D
24,F, i+,0.4,0.4,0.2,2,2,1,-0.2,-0.028571428571428567,6.0,3,0.6666666666666666,0.8,1.0,3,4,4,0.6,0.04642857142857144,5.0,2,0.4666666666666667,0.4,0.4,2,2,2,-0.19999999999999996,-0.01785714285714285,5.0,3,0.7333333333333333,0.6,0.6,3,3,3,-0.4,-0.021428571428571422,5.0,2,1D
25,F, i+,0.4666666666666667,0.5,0.4,2,3,2,0.0,0.010714285714285711,10.0,4,0.4666666666666667,0.4,0.0,2,2,1,-0.6,-0.05000000000000003,10.0,4,0.4,0.6,0.6,2,3,3,0.6,0.060714285714285735,10.0,4,0.6,0.5,0.6,3,3,3,-0.20000000000000007,-6.938893903907228e-18,10.0,4,1D
26,F,i-,0.7333333333333333,0.9,0.8,3,4,4,0.4,0.03214285714285715,10.0,4,0.8666666666666667,0.9,1.0,4,4,4,0.19999999999999996,0.0035714285714285865,6.0,3,0.6,0.8,0.6,3,4,3,0.39999999999999997,0.0392857142857143,10.0,4,0.4666666666666667,0.4,0.4,2,2,2,-0.19999999999999996,-0.021428571428571422,4.0,2, I1D
27,F, i+,0.7333333333333333,0.8,0.8,3,4,4,0.20000000000000007,0.021428571428571422,8.0,4,0.8666666666666667,1.0,1.0,4,4,4,0.4,0.028571428571428595,8.0,4,0.6,0.5,0.6,3,3,3,-0.20000000000000007,-0.014285714285714277,8.0,4,0.5333333333333333,0.5,0.4,3,3,2,-0.19999999999999996,-0.010714285714285721,8.0,4, I1D
28,F, i+,0.8666666666666667,0.8,1.0,4,4,4,0.0,-0.010714285714285704,4.0,2,0.7333333333333333,0.7,0.8,3,3,4,0.0,0.017857142857142873,4.0,2,0.8,0.8,1.0,4,4,4,0.19999999999999996,0.017857142857142877,4.0,2,0.4666666666666667,0.5,0.6,2,3,3,0.19999999999999996,0.017857142857142856,10.0,4,1D
29,F,i-,0.7333333333333333,0.8,0.6,3,4,3,0.0,0.014285714285714278,10.0,4,0.7333333333333333,0.8,0.8,3,4,4,0.20000000000000007,0.014285714285714297,10.0,4,0.7333333333333333,0.7,0.6,3,3,3,-0.20000000000000007,-0.007142857142857152,10.0,4,0.6,0.6,0.6,3,3,3,0.0,0.014285714285714301,1.0,1, R
30,F,i-,0.6666666666666666,0.7,0.8,3,3,4,0.20000000000000007,0.035714285714285726,8.0,4,0.9333333333333333,0.9,1.0,4,4,4,0.0,1.3877787807814457e-17,8.0,4,0.6,0.4,0.4,3,2,2,-0.6,-0.0642857142857143,8.0,4,0.4666666666666667,0.5,0.8,2,3,4,0.4,0.046428571428571444,8.0,4, 2D
31,F,i-,0.7333333333333333,0.8,1.0,3,4,4,0.4,0.03571428571428572,10.0,4,0.6666666666666666,0.7,1.0,3,3,4,0.4,0.04285714285714286,10.0,4,0.5333333333333333,0.6,0.4,3,3,2,0.0,-0.0071428571428571366,10.0,4,0.6,0.5,0.8,3,3,4,0.0,-0.010714285714285704,10.0,4, 2D
32,F, i+,0.7333333333333333,0.9,0.8,3,4,4,0.4,0.05000000000000001,3.0,2,0.9333333333333333,1.0,1.0,4,4,4,0.19999999999999996,0.025,3.0,2,0.6,0.6,0.6,3,3,3,0.0,0.010714285714285714,8.0,4,0.3333333333333333,0.3,0.2,2,2,1,-0.2,-0.017857142857142853,9.0,4,1D
33,F,i-,0.8,0.8,0.8,4,4,4,0.0,-0.0035714285714285587,4.0,2,0.8,0.9,0.8,4,4,4,0.20000000000000007,0.01785714285714286,3.0,2,0.6666666666666666,0.6,0.8,3,3,4,0.0,-0.007142857142857138,7.0,3,0.6,0.5,0.8,3,3,4,0.0,0.0035714285714285796,8.0,4, 2D
34,F,i-,0.8666666666666667,1.0,1.0,4,4,4,0.4,0.04642857142857143,2.0,1,0.4666666666666667,0.6,0.6,2,3,3,0.39999999999999997,0.021428571428571436,7.0,3,0.5333333333333333,0.6,0.6,3,3,3,0.19999999999999996,1.214306433183765e-17,9.0,4,0.5333333333333333,0.5,0.6,3,3,3,0.0,-6.938893903907228e-18,10.0,4, I1D
35,F, i+,0.8,0.7,0.8,4,3,4,-0.19999999999999996,-0.007142857142857131,1.0,1,0.6,0.6,0.8,3,3,4,0.20000000000000007,0.028571428571428588,9.0,4,0.6666666666666666,0.5,0.4,3,3,2,-0.6,-0.0642857142857143,7.0,3,0.5333333333333333,0.4,0.4,3,2,2,-0.4,-0.039285714285714285,9.0,4, 2D
36,F, i+,0.8666666666666667,0.9,1.0,4,4,4,0.19999999999999996,0.0142857142857143,1.0,1,0.6,0.6,0.8,3,3,4,0.20000000000000007,0.025000000000000005,1.0,1,0.7333333333333333,0.7,0.6,3,3,3,-0.20000000000000007,-0.007142857142857152,8.0,4,0.7333333333333333,0.7,0.4,3,3,2,-0.4,-0.039285714285714285,8.0,4, I1D
37,F,i-,0.7333333333333333,0.7,0.8,3,3,4,0.0,0.007142857142857138,6.0,3,0.8,0.9,1.0,4,4,4,0.4,0.053571428571428575,4.0,2,0.6,0.7,0.4,3,3,2,0.0,-6.938893903907228e-18,9.0,4,0.6,0.4,0.6,3,2,3,-0.4,-0.028571428571428567,10.0,4, I1D
38,F,i-,0.8,0.9,1.0,4,4,4,0.4,0.03214285714285716,1.0,1,0.9333333333333333,1.0,1.0,4,4,4,0.19999999999999996,0.014285714285714303,1.0,1,0.5333333333333333,0.4,0.4,3,2,2,-0.4,-0.028571428571428588,10.0,4,0.6666666666666666,0.8,1.0,3,4,4,0.6,0.053571428571428596,1.0,1, R
39,F, i+,0.6666666666666666,0.7,0.6,3,3,3,0.0,0.010714285714285706,7.0,3,0.9333333333333333,0.9,1.0,4,4,4,0.0,1.3877787807814457e-17,3.0,2,0.8,0.8,0.8,4,4,4,0.0,0.0035714285714285865,3.0,2,0.6,0.6,0.6,3,3,3,0.0,-0.0142857142857143,8.0,4, R
40,F,i-,0.8666666666666667,0.9,1.0,4,4,4,0.19999999999999996,0.025000000000000022,10.0,4,0.4666666666666667,0.5,0.6,2,3,3,0.19999999999999996,0.03214285714285717,10.0,4,0.6,0.5,0.4,3,3,2,-0.4,-0.053571428571428575,10.0,4,0.4,0.4,0.2,2,2,1,-0.2,-0.025000000000000012,10.0,4, R
41,F, i+,0.6666666666666666,0.8,0.8,3,4,4,0.4,0.042857142857142864,10.0,4,0.8,0.8,0.8,4,4,4,0.0,1.3877787807814457e-17,5.0,2,0.26666666666666666,0.4,0.4,2,2,2,0.4,0.032142857142857154,3.0,2,0.4666666666666667,0.5,0.2,2,3,1,-0.2,-0.01785714285714285,5.0,2, R
42,F, i+,0.8666666666666667,1.0,1.0,4,4,4,0.4,0.039285714285714306,10.0,4,0.5333333333333333,0.6,0.6,3,3,3,0.19999999999999996,0.01071428571428573,10.0,4,0.4666666666666667,0.4,0.4,2,2,2,-0.19999999999999996,-0.024999999999999994,10.0,4,0.4,0.3,0.2,2,2,1,-0.39999999999999997,-0.03214285714285716,10.0,4, R
43,F, i+,0.13333333333333333,0.2,0.4,1,1,2,0.4,0.046428571428571444,8.0,4,0.6666666666666666,0.9,1.0,3,4,4,0.8,0.08214285714285717,3.0,2,0.3333333333333333,0.2,0.2,2,1,1,-0.39999999999999997,-0.03571428571428571,8.0,4,0.6,0.5,0.6,3,3,3,-0.20000000000000007,-0.028571428571428567,3.0,2, 2D
44,F,i-,0.7333333333333333,0.7,0.8,3,3,4,0.0,-0.014285714285714277,10.0,4,0.06666666666666667,0.1,0.2,1,1,1,0.2,0.010714285714285718,10.0,4,0.2,0.2,0.4,1,1,2,0.2,0.01785714285714286,10.0,4,0.5333333333333333,0.5,0.6,3,3,3,0.0,0.007142857142857133,10.0,4, I1D
45,F, i+,0.6,0.5,0.6,3,3,3,-0.20000000000000007,-0.01785714285714285,8.0,4,0.8,0.9,0.8,4,4,4,0.20000000000000007,0.02142857142857143,5.0,2,0.4,0.3,0.4,2,2,2,-0.19999999999999996,-0.017857142857142873,10.0,4,0.4666666666666667,0.6,0.6,2,3,3,0.39999999999999997,0.03571428571428572,10.0,4,1D
46,F, i+,0.6666666666666666,0.9,1.0,3,4,4,0.8,0.07500000000000002,8.0,4,0.6666666666666666,0.5,0.2,3,3,1,-0.8,-0.07142857142857144,8.0,4,0.6666666666666666,0.8,0.8,3,4,4,0.4,0.021428571428571436,8.0,4,0.6,0.6,0.8,3,3,4,0.20000000000000007,0.025,8.0,4, 2D
47,F,i-,0.8666666666666667,0.9,0.8,4,4,4,0.0,0.0035714285714285796,3.0,2,0.5333333333333333,0.5,0.6,3,3,3,0.0,-0.007142857142857131,8.0,4,0.5333333333333333,0.7,1.0,3,3,4,0.8,0.06785714285714288,9.0,4,0.6,0.5,0.8,3,3,4,0.0,0.0035714285714285657,7.0,3, I1D
48,F, i+,0.8,0.7,0.4,4,3,2,-0.6,-0.06071428571428572,1.0,1,0.8666666666666667,0.8,1.0,4,4,4,0.0,0.0035714285714285865,8.0,4,0.6,0.5,0.4,3,3,2,-0.4,-0.024999999999999994,5.0,2,0.6,0.6,0.6,3,3,3,0.0,0.010714285714285713,7.0,3, 2D
49,F, i+,0.7333333333333333,0.7,0.8,3,3,4,0.0,0.0035714285714285865,8.0,4,0.8666666666666667,0.9,1.0,4,4,4,0.19999999999999996,0.014285714285714304,8.0,4,0.6,0.7,0.6,3,3,3,0.19999999999999996,0.028571428571428574,8.0,4,0.6666666666666666,0.6,0.6,3,3,3,-0.20000000000000007,-0.0035714285714285587,8.0,4, I1D
50,F, i+,0.6,0.7,0.6,3,3,3,0.19999999999999996,0.02142857142857143,8.0,4,0.4666666666666667,0.5,0.4,2,3,2,0.0,0.0035714285714285657,7.0,3,0.4,0.3,0.4,2,2,2,-0.19999999999999996,-0.017857142857142856,8.0,4,0.4,0.5,0.6,2,3,3,0.39999999999999997,0.028571428571428574,8.0,4, R
51,F,i-,0.8,1.0,1.0,4,4,4,0.6,0.06071428571428573,4.0,2,0.3333333333333333,0.4,0.4,2,2,2,0.2,0.010714285714285714,8.0,4,0.6,0.6,0.8,3,3,4,0.20000000000000007,0.007142857142857156,7.0,3,0.2,0.2,0.2,1,1,1,0.0,0.00714285714285714,9.0,4, R
