,sid,grp,tid,pc1
470,172,1,4,0.43595384799612824
333,172,1,3,0.9362300315424693
195,173,1,2,0.6499048136739346
334,173,1,3,0.6539105400514742
471,173,1,4,0.32689792438757304
57,173,1,1,0.9374814381954474
58,176,1,1,0.8608805313694396
335,176,1,3,0.8093279382886597
472,176,1,4,0.33723648468311274
196,176,1,2,0.5979451464659838
197,181,1,2,0.7254608132299342
59,181,1,1,0.9673826173826173
473,181,1,4,0.5540110386734158
336,181,1,3,0.3416730710234412
337,182,1,3,0.3980052749153301
60,182,1,1,0.9386950062231931
474,182,1,4,0.2704468333568885
198,182,1,2,0.6554183520029127
338,192,1,3,0.5619820931794011
475,192,1,4,0.5241259442356898
61,192,1,1,0.771925287403104
199,192,1,2,0.8693900124463864
339,193,1,3,0.4675757340578985
62,193,1,1,1.0
476,193,1,4,0.3585188029332059
200,193,1,2,0.9605204030485899
477,194,1,4,0.475428858975487
63,194,1,1,0.9904908949745906
201,194,1,2,0.8201130171428158
340,194,1,3,0.5095479263381807
64,195,1,1,0.931987106511328
202,195,1,2,0.7459946049553265
341,195,1,3,0.6738471104642056
478,195,1,4,0.5860395820254886
203,200,1,2,1.0
479,200,1,4,0.5158279193339229
65,200,1,1,0.8778062418908023
342,200,1,3,0.7104089328777442
66,202,1,1,0.9256429816993554
204,202,1,2,0.5124215128748848
343,202,1,3,0.7380878790523426
480,202,1,4,0.7441259464276021
344,203,1,3,0.5718617047868899
205,203,1,2,0.8503255425130425
67,203,1,1,0.9627613591938939
481,203,1,4,0.34932535839147766
206,204,1,2,0.9073616728898597
345,204,1,3,0.614918134262501
68,204,1,1,0.76931010179901
482,204,1,4,0.6745251063828264
346,206,1,3,0.6492869602929637
483,206,1,4,0.6150124786940374
207,206,1,2,0.6754172719669017
69,206,1,1,0.40048540401433125
484,208,1,4,0.3823051393947881
208,208,1,2,0.9111999551606764
70,208,1,1,0.7694867430018969
347,208,1,3,0.8347865663553778
209,209,1,2,0.7539379681789025
348,209,1,3,0.554724593893715
71,209,1,1,0.6185801921818478
485,209,1,4,0.4955212810028397
210,214,1,2,0.7633476706882952
72,214,1,1,0.8927588349715824
486,214,1,4,0.510200219718661
349,214,1,3,0.3590609466945313
73,215,1,1,0.6324184765594107
487,215,1,4,0.8965709648273384
350,215,1,3,0.8254514143728575
211,215,1,2,0.934480261988352
351,217,1,3,0.6965948510875016
74,217,1,1,0.5933708575117917
212,217,1,2,0.939373897707231
488,217,1,4,0.6504082062894554
352,219,1,3,0.8819286959850697
489,219,1,4,0.5133288670946767
213,219,1,2,0.771637611750359
75,219,1,1,0.8840422240029455
76,220,1,1,0.926253422161512
353,220,1,3,0.6622614551494482
490,220,1,4,0.5994226994330508
214,220,1,2,0.9155690946870937
354,226,1,3,0.862927731512292
215,226,1,2,0.886381405289495
491,226,1,4,0.5108726378585444
77,226,1,1,0.9263703270843363
492,228,1,4,0.5871534261957064
355,228,1,3,0.6759196876888086
216,228,1,2,0.7076370661823482
78,228,1,1,0.9627613591938939
79,231,1,1,1.0
356,231,1,3,0.7015516470338116
493,231,1,4,0.5366877415535511
217,231,1,2,0.5674079059287432
218,232,1,2,0.9790117745858907
357,232,1,3,0.7894906148786078
494,232,1,4,0.39552215334059454
80,232,1,1,1.0
219,233,1,2,0.9205963616527353
358,233,1,3,0.9135943917193917
495,233,1,4,0.43191221360712556
81,233,1,1,0.6234396268648119
359,234,1,3,0.49125588258976327
496,234,1,4,0.3236655487211821
220,234,1,2,1.0
82,234,1,1,1.0
497,235,1,4,0.43226622108840446
360,235,1,3,0.6723003257208535
83,235,1,1,0.9318824948432162
221,235,1,2,0.8380566791130528
84,237,1,1,1.0
361,237,1,3,0.8301814052894954
222,237,1,2,0.5061423264953888
498,237,1,4,0.48088999950409284
362,239,1,3,0.7132288184348219
499,239,1,4,0.4867627016811429
85,239,1,1,0.6039062985436272
223,239,1,2,0.5503099069115626
500,241,1,4,0.4932108038205494
363,241,1,3,0.6790194971004553
86,241,1,1,0.9219662653988001
224,241,1,2,0.9057617485713461
501,243,1,4,0.26606628646028296
364,243,1,3,0.6204634614842988
87,243,1,1,0.7092863155363155
225,243,1,2,1.0
226,247,1,2,0.5586042144944688
502,247,1,4,0.5299207103391516
365,247,1,3,0.6208768679264978
88,247,1,1,0.6754183520029126
366,248,1,3,0.583934686260181
503,248,1,4,0.5118697099119901
89,248,1,1,0.8538807346405407
227,248,1,2,0.6277521382447886
228,249,1,2,1.0
90,249,1,1,0.9148596353141808
367,249,1,3,0.7059201323496651
504,249,1,4,0.6022673243733279
368,252,1,3,0.28700054218675836
505,252,1,4,0.7221287822391337
229,252,1,2,0.4431004650619269
91,252,1,1,1.0
92,256,1,1,0.7461673511673512
506,256,1,4,0.3898193181894756
369,256,1,3,0.5900597610567593
230,256,1,2,0.7688195609764237
93,258,1,1,1.0
507,258,1,4,0.4746484779186354
231,258,1,2,0.9539373802742627
370,258,1,3,0.6885628731837105
232,259,1,2,0.993176021080369
94,259,1,1,1.0
508,259,1,4,0.6211900362242266
371,259,1,3,0.5660607683906109
95,260,1,1,0.6706707505921936
233,260,1,2,0.8155851062414798
372,260,1,3,0.6716080507533326
509,260,1,4,0.6885850476709543
234,261,1,2,0.917560261520983
96,261,1,1,0.767745548102691
510,261,1,4,0.47001793700384353
373,261,1,3,0.7075947884827817
235,262,1,2,0.7352658641309334
374,262,1,3,0.6961609772737246
97,262,1,1,0.8072903688749293
511,262,1,4,0.653236084293804
236,264,1,2,0.6130652187061529
375,264,1,3,0.8870036275117174
98,264,1,1,0.9386950062231931
512,264,1,4,0.7141527611587647
376,266,1,3,0.8172414886700601
237,266,1,2,0.9844117194430866
99,266,1,1,0.8605759980759982
513,266,1,4,0.357299647870115
100,271,1,1,0.9005376939702286
377,271,1,3,0.9109474048124742
238,271,1,2,0.8072903688749293
514,271,1,4,0.4470104025526828
101,273,1,1,0.9745670230952099
378,273,1,3,0.6149180899476229
239,273,1,2,0.7472149205679828
515,273,1,4,0.6319763780378399
240,275,1,2,0.28231864977576376
102,275,1,1,0.7148141783987388
379,275,1,3,0.5744461717475178
516,275,1,4,0.42523817065661185
380,277,1,3,0.5018714353727813
517,277,1,4,0.4781826909125335
103,277,1,1,0.7361469661640614
241,277,1,2,0.8420185641313114
518,279,1,4,0.4800058725199659
104,279,1,1,0.9969135802469135
242,279,1,2,0.9735982925933908
381,279,1,3,0.8734910541799625
382,280,1,3,0.8176578255309848
519,280,1,4,0.5831897417474614
105,280,1,1,0.6916954591317359
243,280,1,2,0.9082562322169535
520,281,1,4,0.873615055435583
244,281,1,2,0.7467998992213423
106,281,1,1,1.0
383,281,1,3,0.5029536860590837
107,282,1,1,0.8287822004949479
521,282,1,4,0.4442473742332808
245,282,1,2,0.7760748669436783
384,282,1,3,0.7664934525828488
246,284,1,2,0.8378246188608957
108,284,1,1,0.5033333333333333
522,284,1,4,0.596814762400669
385,284,1,3,0.8481152709840823
109,286,1,1,0.8089888286316859
523,286,1,4,0.6138739195833556
247,286,1,2,0.6242361342361343
386,286,1,3,0.7543927009522985
387,287,1,3,0.6798437039889861
248,287,1,2,0.942745548102691
110,287,1,1,1.0
524,287,1,4,0.44953964164938726
525,288,1,4,0.38242715299387803
111,288,1,1,0.5536988833723522
388,288,1,3,0.5264116636089715
249,288,1,2,0.774927731512292
250,289,1,2,0.5481713531529119
526,289,1,4,0.616610212624306
389,289,1,3,0.6924605477066693
112,289,1,1,0.9725436179981635
390,292,1,3,0.3564373897707231
113,292,1,1,0.6746603066247703
251,292,1,2,1.0
391,295,1,3,0.7453238694973385
114,295,1,1,0.898697929055072
527,295,1,4,0.5584074485930455
252,295,1,2,0.829567914780662
392,296,1,3,0.5094448873915155
253,296,1,2,0.5374298092314649
528,298,1,4,0.3954350323776223
393,298,1,3,0.7412582018316707
115,298,1,1,0.6807804688932163
254,298,1,2,0.6554288550697892
529,299,1,4,0.4590679104820039
394,299,1,3,0.6329612975065795
116,299,1,1,0.9205354016199621
255,299,1,2,0.7271456580712636
530,300,1,4,0.37639516868916517
117,300,1,1,0.7092863155363155
256,300,1,2,0.4028709518850453
395,300,1,3,0.6671047510692146
118,301,1,1,0.8071031746031746
396,301,1,3,0.8132715053077821
531,301,1,4,0.4538091914232848
257,301,1,2,0.7304266104266104
119,302,1,1,1.0
397,302,1,3,0.6266530189153962
532,302,1,4,0.5631697407556473
258,302,1,2,0.766133534626185
533,305,1,4,0.415936407422314
259,305,1,2,0.6779237706969299
398,305,1,3,0.7151374594669925
120,305,1,1,1.0
260,306,1,2,0.7401245678003749
534,306,1,4,0.543295992281899
399,306,1,3,0.6814764741174083
121,306,1,1,0.794708890669612
261,307,1,2,0.9984000000000001
122,307,1,1,0.9825908326190195
535,307,1,4,0.4933417384084634
400,307,1,3,0.6680451279071956
536,308,1,4,0.35121895245688484
262,308,1,2,0.769927731512292
401,308,1,3,0.5449298139305543
123,308,1,1,0.7691326377171983
124,309,1,1,0.9238710273035619
263,309,1,2,0.9904908949745906
402,309,1,3,0.5674636747975556
537,309,1,4,0.5529257403116469
125,310,1,1,0.6879299717967539
264,310,1,2,0.7486679147806622
403,310,1,3,0.5962511392437897
538,310,1,4,0.4031015289955255
404,311,1,3,0.6692101387836076
539,311,1,4,0.43938447389047736
265,311,1,2,0.8026254448606337
126,311,1,1,1.0
405,312,1,3,0.4333495564264795
540,312,1,4,0.669052136662488
266,312,1,2,0.68584684546223
127,312,1,1,0.9272108843537415
406,314,1,3,0.7389036451486176
267,314,1,2,0.8299525055088792
128,314,1,1,0.6420850186695791
541,314,1,4,0.3915777790956146
268,316,1,2,0.7547233457797197
129,316,1,1,0.993176021080369
542,316,1,4,0.6376127987983957
407,316,1,3,0.8443759762410455
543,319,1,4,0.5224390107013879
130,319,1,1,0.8226251922680493
269,319,1,2,0.3727907386417145
408,319,1,3,0.6289329579500531
270,320,1,2,0.5805781036271277
131,320,1,1,0.8366329320654667
409,320,1,3,0.8837574544463628
544,320,1,4,0.4448593319260569
132,321,1,1,0.752927717232345
410,321,1,3,0.35305244996250507
545,321,1,4,0.6370160919456249
271,321,1,2,1.0
133,329,1,1,0.7860566791130529
272,329,1,2,0.9940629628720367
411,329,1,3,0.7159594589852497
546,329,1,4,0.4207492554871879
