sid,grp,cnd,range,pc1,pc2,pc3,pc4,lrn1,lrn2,lrn3,lrn4
244,1,0,4,0.86666667,0.60000000,0.80000000,0.60000000,10.00000000,10.00000000,10.00000000,10.00000000
245,1,0,6,0.66666667,0.86666667,0.66666667,0.46666667,8.00000000,8.00000000,10.00000000,8.00000000
246,1,1,4,0.66666667,0.66666667,0.73333333,0.46666667,4.00000000,3.00000000,7.00000000,2.00000000
247,1,1,4,0.80000000,0.60000000,0.53333333,0.60000000,10.00000000,10.00000000,10.00000000,10.00000000
248,1,0,7,0.66666667,0.26666667,0.66666667,0.20000000,3.00000000,10.00000000,3.00000000,10.00000000
249,1,0,10,0.66666667,0.93333333,0.66666667,0.26666667,4.00000000,2.00000000,8.00000000,10.00000000
250,1,0,4,0.53333333,0.66666667,0.53333333,0.40000000,10.00000000,10.00000000,10.00000000,10.00000000
251,1,0,7,0.73333333,0.93333333,0.53333333,0.46666667,9.00000000,4.00000000,9.00000000,9.00000000
252,1,0,8,0.93333333,0.40000000,0.53333333,0.53333333,10.00000000,5.00000000,7.00000000,6.00000000
253,1,0,7,0.93333333,0.73333333,0.73333333,0.46666667,3.00000000,8.00000000,5.00000000,10.00000000
254,1,1,3,0.73333333,0.60000000,0.60000000,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
255,1,1,6,0.46666667,0.73333333,0.53333333,0.33333333,8.00000000,5.00000000,8.00000000,9.00000000
256,1,1,6,0.86666667,0.66666667,0.53333333,0.46666667,2.00000000,2.00000000,9.00000000,10.00000000
257,1,1,7,0.46666667,0.93333333,0.60000000,0.60000000,3.00000000,10.00000000,10.00000000,6.00000000
258,1,1,8,0.73333333,0.86666667,0.80000000,0.33333333,10.00000000,8.00000000,8.00000000,10.00000000
259,1,1,9,0.80000000,0.66666667,0.60000000,0.20000000,10.00000000,10.00000000,10.00000000,10.00000000
260,1,1,4,0.86666667,0.93333333,0.66666667,0.86666667,7.00000000,7.00000000,7.00000000,9.00000000
261,1,1,4,0.80000000,0.60000000,0.66666667,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
262,1,0,7,0.86666667,0.66666667,0.80000000,0.40000000,6.00000000,5.00000000,5.00000000,10.00000000
263,1,0,3,0.60000000,0.53333333,0.66666667,0.46666667,2.00000000,4.00000000,3.00000000,2.00000000
264,1,0,5,0.80000000,0.46666667,0.60000000,0.46666667,9.00000000,10.00000000,9.00000000,10.00000000
265,1,0,4,0.40000000,0.66666667,0.40000000,0.66666667,5.00000000,5.00000000,5.00000000,5.00000000
266,1,1,2,0.73333333,0.66666667,0.66666667,0.80000000,9.00000000,9.00000000,9.00000000,9.00000000
267,1,1,6,0.66666667,0.33333333,0.73333333,0.60000000,3.00000000,10.00000000,7.00000000,10.00000000
268,1,1,6,0.73333333,0.60000000,0.60000000,0.33333333,9.00000000,9.00000000,8.00000000,8.00000000
269,1,0,8,0.93333333,0.86666667,0.53333333,0.40000000,6.00000000,5.00000000,10.00000000,10.00000000
270,1,0,6,0.86666667,0.46666667,0.60000000,0.46666667,1.00000000,10.00000000,8.00000000,10.00000000
271,1,1,8,0.86666667,0.80000000,0.60000000,0.33333333,7.00000000,5.00000000,10.00000000,9.00000000
272,1,0,4,0.53333333,0.80000000,0.53333333,0.73333333,5.00000000,1.00000000,10.00000000,10.00000000
273,1,0,5,0.73333333,0.80000000,0.46666667,0.53333333,7.00000000,3.00000000,10.00000000,9.00000000
274,1,0,7,0.73333333,0.73333333,0.26666667,0.33333333,5.00000000,6.00000000,10.00000000,10.00000000
275,1,0,4,0.73333333,0.66666667,0.46666667,0.66666667,4.00000000,6.00000000,5.00000000,8.00000000
276,1,1,9,0.86666667,0.86666667,0.60000000,0.26666667,10.00000000,10.00000000,10.00000000,10.00000000
277,1,1,5,0.80000000,0.53333333,0.60000000,0.46666667,4.00000000,7.00000000,8.00000000,7.00000000
278,1,1,12,0.80000000,0.86666667,0.06666667,0.73333333,5.00000000,7.00000000,10.00000000,7.00000000
279,1,1,5,0.86666667,0.80000000,0.73333333,0.53333333,2.00000000,2.00000000,8.00000000,10.00000000
280,1,1,4,0.40000000,0.66666667,0.60000000,0.66666667,10.00000000,10.00000000,10.00000000,10.00000000
281,1,0,5,0.86666667,0.86666667,0.73333333,0.53333333,6.00000000,6.00000000,6.00000000,10.00000000
282,1,1,5,0.66666667,0.80000000,0.46666667,0.53333333,6.00000000,8.00000000,5.00000000,2.00000000
283,1,0,3,0.73333333,0.53333333,0.53333333,0.53333333,8.00000000,9.00000000,7.00000000,7.00000000
284,1,1,10,0.93333333,0.80000000,0.86666667,0.26666667,3.00000000,3.00000000,3.00000000,10.00000000
285,1,1,7,0.46666667,0.33333333,0.80000000,0.46666667,10.00000000,10.00000000,1.00000000,10.00000000
286,1,1,2,0.66666667,0.53333333,0.66666667,0.53333333,3.00000000,9.00000000,7.00000000,8.00000000
287,1,0,5,0.86666667,0.80000000,0.53333333,0.66666667,3.00000000,5.00000000,10.00000000,7.00000000
288,1,0,3,0.73333333,0.73333333,0.53333333,0.53333333,2.00000000,9.00000000,9.00000000,10.00000000
289,1,0,10,1.00000000,0.33333333,0.60000000,0.73333333,5.00000000,7.00000000,6.00000000,7.00000000
290,1,1,4,0.46666667,0.20000000,0.33333333,0.20000000,7.00000000,10.00000000,9.00000000,10.00000000
291,1,1,4,0.80000000,0.80000000,0.73333333,0.53333333,4.00000000,4.00000000,8.00000000,10.00000000
292,1,1,5,0.60000000,0.73333333,0.80000000,0.46666667,6.00000000,8.00000000,9.00000000,3.00000000
293,1,1,6,0.46666667,0.80000000,0.66666667,0.40000000,10.00000000,2.00000000,4.00000000,9.00000000
294,1,1,2,0.60000000,0.60000000,0.53333333,0.66666667,8.00000000,8.00000000,8.00000000,9.00000000
295,1,0,6,0.80000000,0.53333333,0.46666667,0.40000000,2.00000000,8.00000000,8.00000000,4.00000000
296,1,0,8,0.93333333,0.53333333,0.60000000,0.40000000,8.00000000,6.00000000,8.00000000,7.00000000
297,1,1,6,0.40000000,0.80000000,0.73333333,0.60000000,9.00000000,3.00000000,6.00000000,9.00000000
298,1,0,5,0.66666667,0.80000000,0.46666667,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
299,1,1,9,0.40000000,0.86666667,0.26666667,0.60000000,9.00000000,3.00000000,8.00000000,8.00000000
300,1,0,6,0.86666667,0.73333333,0.60000000,0.46666667,2.00000000,7.00000000,10.00000000,10.00000000
301,1,0,6,1.00000000,0.93333333,0.73333333,0.60000000,1.00000000,2.00000000,10.00000000,10.00000000
302,1,1,5,0.66666667,0.73333333,0.66666667,0.40000000,6.00000000,7.00000000,6.00000000,8.00000000
303,1,1,6,0.86666667,0.73333333,0.53333333,0.46666667,10.00000000,9.00000000,5.00000000,7.00000000
304,1,1,2,0.73333333,0.66666667,0.60000000,0.66666667,7.00000000,7.00000000,10.00000000,4.00000000
305,1,1,8,0.80000000,0.86666667,0.53333333,0.33333333,2.00000000,2.00000000,7.00000000,10.00000000
306,1,1,7,0.73333333,0.86666667,0.60000000,0.40000000,2.00000000,2.00000000,6.00000000,10.00000000
307,1,1,7,0.73333333,0.86666667,0.66666667,0.40000000,3.00000000,2.00000000,9.00000000,10.00000000
308,1,1,7,0.93333333,0.60000000,0.60000000,0.46666667,5.00000000,9.00000000,9.00000000,9.00000000
309,1,0,4,0.53333333,0.73333333,0.46666667,0.53333333,3.00000000,2.00000000,7.00000000,10.00000000
310,1,1,7,0.26666667,0.66666667,0.73333333,0.40000000,7.00000000,10.00000000,10.00000000,10.00000000
311,1,1,5,0.80000000,0.73333333,0.66666667,0.46666667,2.00000000,9.00000000,10.00000000,10.00000000
312,1,1,10,0.66666667,0.86666667,0.80000000,0.20000000,5.00000000,2.00000000,1.00000000,10.00000000
313,1,1,5,0.93333333,0.66666667,0.86666667,0.60000000,8.00000000,7.00000000,6.00000000,10.00000000
314,1,1,6,0.86666667,0.86666667,0.46666667,0.73333333,6.00000000,10.00000000,10.00000000,10.00000000
315,1,0,4,0.53333333,0.66666667,0.60000000,0.40000000,10.00000000,10.00000000,10.00000000,10.00000000
316,1,1,7,0.80000000,0.80000000,0.60000000,0.33333333,3.00000000,3.00000000,9.00000000,9.00000000
317,1,0,9,0.86666667,0.60000000,0.60000000,0.26666667,4.00000000,6.00000000,8.00000000,10.00000000
318,1,0,5,0.80000000,0.46666667,0.60000000,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
319,1,0,8,0.66666667,0.53333333,0.80000000,0.26666667,9.00000000,6.00000000,7.00000000,3.00000000
320,1,1,6,0.80000000,0.40000000,0.60000000,0.53333333,4.00000000,10.00000000,10.00000000,10.00000000
321,1,1,7,0.93333333,0.86666667,0.66666667,0.46666667,5.00000000,4.00000000,4.00000000,9.00000000
322,1,0,6,0.86666667,0.80000000,0.73333333,0.46666667,1.00000000,2.00000000,2.00000000,10.00000000
323,1,1,4,0.86666667,0.86666667,0.60000000,0.60000000,9.00000000,9.00000000,9.00000000,9.00000000
324,1,0,5,0.66666667,0.53333333,0.60000000,0.33333333,8.00000000,8.00000000,6.00000000,9.00000000
325,1,0,2,0.53333333,0.40000000,0.40000000,0.46666667,10.00000000,10.00000000,10.00000000,10.00000000
326,1,0,4,0.33333333,0.60000000,0.53333333,0.53333333,10.00000000,10.00000000,10.00000000,10.00000000
327,1,1,2,0.66666667,0.53333333,0.53333333,0.60000000,9.00000000,9.00000000,9.00000000,9.00000000
328,1,0,4,0.73333333,0.46666667,0.53333333,0.73333333,10.00000000,10.00000000,10.00000000,10.00000000
329,1,0,8,0.80000000,0.86666667,0.33333333,0.53333333,2.00000000,2.00000000,10.00000000,10.00000000
