sid,grp,cnd,fam,tid,tord,pc_grand,pc_first,pc_last,dpc,alltime,freetime,nblocks,avstreak,lrn,int,comp,time,prog,rule,lrn2,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2
162,S,i+,Green,1_1D,1,0.8070175438596491,0.6,0.9333333333333333,0.33333333333333337,0.18387096774193548,0.168,1,42.0,7,9,4,8,8,9,9,-0.2857142857142856,1.7142857142857144,-3.2857142857142856,0.7142857142857144,0.7142857142857144,1.7142857142857144,1.7142857142857144
162,S,i+,Bear,2_I1D,2,0.8916666666666667,0.9333333333333333,0.8,0.0,0.3870967741935484,0.42,3,35.0,8,9,4,8,8,9,9,0.7142857142857144,1.7142857142857144,-3.2857142857142856,0.7142857142857144,0.7142857142857144,1.7142857142857144,1.7142857142857144
162,S,i+,Bunny,3_2D,3,0.8390804597701149,0.6666666666666666,0.8666666666666667,0.20000000000000007,0.2806451612903226,0.288,2,36.0,7,9,7,7,7,8,9,-0.2857142857142856,1.7142857142857144,-0.2857142857142856,-0.2857142857142856,-0.2857142857142856,0.7142857142857144,1.7142857142857144
162,S,i+,Squid,4_R,4,0.34782608695652173,0.2,0.4,0.2,0.14838709677419354,0.124,1,31.0,3,9,10,4,5,3,7,-4.285714285714286,1.7142857142857144,2.7142857142857144,-3.2857142857142856,-2.2857142857142856,-4.285714285714286,-0.2857142857142856
163,S,i+,Green,1_1D,3,0.8461538461538461,0.9333333333333333,0.8,0.0,0.08387096774193549,0.044,2,5.5,2,2,1,2,10,10,2,-3.6071428571428568,-3.6071428571428568,-4.607142857142857,-3.6071428571428568,4.392857142857143,4.392857142857143,-3.6071428571428568
163,S,i+,Bunny,2_I1D,1,0.5116279069767442,0.4666666666666667,0.7333333333333333,0.2666666666666666,0.13870967741935483,0.112,2,14.0,8,6,1,4,9,10,2,2.3928571428571432,0.39285714285714324,-4.607142857142857,-1.6071428571428568,3.3928571428571432,4.392857142857143,-3.6071428571428568
163,S,i+,Squid,3_2D,2,0.6440677966101694,0.4666666666666667,0.6,0.1333333333333333,0.19032258064516128,0.176,3,14.666666666666666,10,4,3,5,8,8,3,4.392857142857143,-1.6071428571428568,-2.6071428571428568,-0.6071428571428568,2.3928571428571432,2.3928571428571432,-2.6071428571428568
163,S,i+,Bear,4_R,4,0.5439560439560439,0.7333333333333333,0.6,0.0,0.5870967741935483,0.668,3,55.666666666666664,6,9,9,9,2,2,10,0.39285714285714324,3.3928571428571432,3.3928571428571432,3.3928571428571432,-3.6071428571428568,-3.6071428571428568,4.392857142857143
164,S,i+,Bear,1_1D,4,0.8974358974358975,0.9333333333333333,0.8666666666666667,0.0,0.12580645161290321,0.096,1,24.0,3,5,2,3,10,10,1,-3.1071428571428568,-1.1071428571428568,-4.107142857142857,-3.1071428571428568,3.8928571428571432,3.8928571428571432,-5.107142857142857
164,S,i+,Bunny,2_I1D,3,0.81,0.4,0.8666666666666667,0.4666666666666667,0.3225806451612903,0.34,3,28.333333333333332,9,6,1,6,10,10,1,2.8928571428571432,-0.10714285714285676,-5.107142857142857,-0.10714285714285676,3.8928571428571432,3.8928571428571432,-5.107142857142857
