,tid,lrn,Freq
1,1,1,19
2,2,1,15
3,3,1,20
4,4,1,21
5,1,2,19
6,2,2,19
7,3,2,16
8,4,2,21
9,1,3,17
10,2,3,19
11,3,3,19
12,4,3,20
13,1,4,20
14,2,4,22
15,3,4,20
16,4,4,13
