,tid,lrn,Freq
1,1,1,20
2,2,1,26
3,3,1,13
4,4,1,20
5,1,2,16
6,2,2,24
7,3,2,19
8,4,2,20
9,1,3,19
10,2,3,18
11,3,3,28
12,4,3,14
13,1,4,24
14,2,4,11
15,3,4,19
16,4,4,25
