"","sid","grp","trial","blkt","current","nxt","tord:1","tord:2","tord:3","tord:4","pct:1","pct:2","pct:3","pct:4","pc:1","pc:2","pc:3","pc:4","pcr:1","pcr:2","pcr:3","pcr:4","pval:1","pval:2","pval:3","pval:4","relt:1","relt:2","relt:3","relt:4","sc:1","sc:2","sc:3","sc:4","scsq:1","scsq:2","scsq:3","scsq:4","currentd:1","currentd:2","currentd:3","currentd:4","lrn:1","lrn:2","lrn:3","lrn:4","int:1","int:2","int:3","int:4","comp:1","comp:2","comp:3","comp:4","time:1","time:2","time:3","time:4","prog:1","prog:2","prog:3","prog:4","rule:1","rule:2","rule:3","rule:4","lrn2:1","lrn2:2","lrn2:3","lrn2:4"
"3687",14,0,187,31,"1","4",3,4,2,1,0.4,0.466666666666667,0.4,0.466666666666667,0.834782608695652,0.416666666666667,0.333333333333333,0.476190476190476,1,0.2,0.4,0.6,5.83747466575087e-14,0.116899967193604,0.0349195674061775,0.168188095092773,0.609625668449198,0.128342245989305,0.144385026737968,0.117647058823529,-0.358592132505176,0.0595238095238095,0.142857142857143,0,0.12858831749461,0.00354308390022675,0.0204081632653061,0,1,0,0,0,0.9,0.9,0.9,0.9,1,0,0,0,0,0.714285714285714,1,1,1,0,0.125,0.125,1,0,0,0,1,0,0.125,0.125,0,1,1,1
"3724",14,0,224,37,"4","1",3,4,2,1,0.4,0.466666666666667,0.4,0.466666666666667,0.834782608695652,0.416666666666667,0.333333333333333,0.53448275862069,1,0.2,0.4,0.4,5.83747466575087e-14,0.116899967193604,0.0349195674061775,0.0910808928189814,0.513392857142857,0.107142857142857,0.120535714285714,0.258928571428571,-0.300299850074963,0.117816091954023,0.201149425287356,0,0.090179999955045,0.0138806315233188,0.0404610912934337,0,0,0,0,1,0.9,0.9,0.9,0.9,1,0,0,0,0,0.714285714285714,1,1,1,0,0.125,0.125,1,0,0,0,1,0,0.125,0.125,0,1,1,1
"3834",15,0,84,24,"3","1",4,3,1,2,0.4,0.533333333333333,0.4,0.333333333333333,0.4,0.533333333333333,0.564102564102564,0.333333333333333,0.8,0.8,0.4,0.4,0.152740478515625,0.196380615234375,0.0928068726534548,0.091644287109375,0.19047619047619,0.178571428571429,0.452380952380952,0.178571428571429,0.164102564102564,0.0307692307692308,0,0.230769230769231,0.0269296515450362,0.000946745562130178,0,0.0532544378698225,0,0,1,0,0.8,0.8,0.8,0.8,0,0.25,1,1,0,0,0.777777777777778,1,0,0,1,0.833333333333333,1,1,0.666666666666667,0,1,1,0.666666666666667,0,0,0,1,0.555555555555556
"3848",15,0,98,14,"1","4",4,3,1,2,0.4,0.533333333333333,0.4,0.333333333333333,0.620689655172414,0.533333333333333,0.564102564102564,0.333333333333333,1,0.8,0.4,0.4,0.0644424743950367,0.196380615234375,0.0928068726534548,0.091644287109375,0.295918367346939,0.153061224489796,0.387755102040816,0.163265306122449,0,0.0873563218390805,0.0565870910698497,0.28735632183908,0,0.00763112696525301,0.00320209887574747,0.0825736557008852,1,0,0,0,0.8,0.8,0.8,0.8,0,0.25,1,1,0,0,0.777777777777778,1,0,0,1,0.833333333333333,1,1,0.666666666666667,0,1,1,0.666666666666667,0,0,0,1,0.555555555555556
"3868",15,0,118,20,"4","2",4,3,1,2,0.4,0.533333333333333,0.4,0.333333333333333,0.620689655172414,0.533333333333333,0.564102564102564,0.371428571428571,1,0.8,0.4,0.2,0.0644424743950367,0.196380615234375,0.0928068726534548,0.0429670850280672,0.245762711864407,0.135593220338983,0.322033898305085,0.296610169491525,0,0.0873563218390805,0.0565870910698497,0.249261083743842,0,0.00763112696525301,0.00320209887574747,0.0621310878691548,0,0,0,1,0.8,0.8,0.8,0.8,0,0.25,1,1,0,0,0.777777777777778,1,0,0,1,0.833333333333333,1,1,0.666666666666667,0,1,1,0.666666666666667,0,0,0,1,0.555555555555556
"3882",15,0,132,14,"2","4",4,3,1,2,0.4,0.533333333333333,0.4,0.333333333333333,0.620689655172414,0.689655172413793,0.564102564102564,0.371428571428571,1,0.8,0.4,0.2,0.0644424743950367,0.0186544004827738,0.0928068726534548,0.0429670850280672,0.21969696969697,0.21969696969697,0.287878787878788,0.272727272727273,0.0689655172413793,0,0.125552608311229,0.318226600985222,0.00475624256837099,0,0.0157634574537529,0.101268169574608,0,1,0,0,0.8,0.8,0.8,0.8,0,0.25,1,1,0,0,0.777777777777778,1,0,0,1,0.833333333333333,1,1,0.666666666666667,0,1,1,0.666666666666667,0,0,0,1,0.555555555555556
"3924",15,0,174,42,"4","3",4,3,1,2,0.4,0.533333333333333,0.4,0.333333333333333,0.620689655172414,0.689655172413793,0.564102564102564,0.467532467532468,1,0.8,0.4,0.4,0.0644424743950367,0.0186544004827738,0.0928068726534548,0.0772044443075724,0.166666666666667,0.166666666666667,0.224137931034483,0.442528735632184,0.0689655172413793,0,0.125552608311229,0.222122704881326,0.00475624256837099,0,0.0157634574537529,0.0493384960237965,0,0,0,1,0.8,0.8,0.8,0.8,0,0.25,1,1,0,0,0.777777777777778,1,0,0,1,0.833333333333333,1,1,0.666666666666667,0,1,1,0.666666666666667,0,0,0,1,0.555555555555556
"4011",15,0,261,87,"3","4",4,3,1,2,0.4,0.533333333333333,0.4,0.333333333333333,0.620689655172414,0.689655172413793,0.611111111111111,0.467532467532468,1,0.8,0.6,0.4,0.0644424743950367,0.0186544004827738,0.00315751948757495,0.0772044443075724,0.111111111111111,0.111111111111111,0.478927203065134,0.298850574712644,0.0689655172413793,0,0.078544061302682,0.222122704881326,0.00475624256837099,0,0.00616916956591947,0.0493384960237965,0,0,1,0,0.8,0.8,0.8,0.8,0,0.25,1,1,0,0,0.777777777777778,1,0,0,1,0.833333333333333,1,1,0.666666666666667,0,1,1,0.666666666666667,0,0,0,1,0.555555555555556
"4079",16,0,78,18,"3","2",1,3,2,4,0.733333333333333,0.866666666666667,0.666666666666667,0.6,0.733333333333333,0.866666666666667,0.606060606060606,0.6,0.8,1,0.2,0.8,0.041656494140625,0.003204345703125,0.0667253555729985,0.152740478515625,0.192307692307692,0.205128205128205,0.41025641025641,0.192307692307692,0,-0.133333333333333,0.127272727272727,0.133333333333333,0,0.0177777777777778,0.016198347107438,0.0177777777777778,0,0,1,0,1,0,1,1,1,1,0,0.571428571428571,0.333333333333333,0,1,1,1,0.6,0,0.6,1,1,0,0.285714285714286,1,1,0,0.625,0,0,1,0.6
"4099",16,0,98,20,"2","1",1,3,2,4,0.733333333333333,0.866666666666667,0.666666666666667,0.6,0.733333333333333,0.914285714285714,0.606060606060606,0.6,0.8,1,0.2,0.8,0.041656494140625,1.90484570339322e-07,0.0667253555729985,0.152740478515625,0.163265306122449,0.357142857142857,0.326530612244898,0.153061224489796,0,-0.180952380952381,0.127272727272727,0.133333333333333,0,0.0327437641723356,0.016198347107438,0.0177777777777778,0,1,0,0,1,0,1,1,1,1,0,0.571428571428571,0.333333333333333,0,1,1,1,0.6,0,0.6,1,1,0,0.285714285714286,1,1,0,0.625,0,0,1,0.6
"4117",16,0,116,18,"1","4",1,3,2,4,0.733333333333333,0.866666666666667,0.666666666666667,0.6,0.848484848484849,0.914285714285714,0.606060606060606,0.6,1,1,0.2,0.8,2.76295468211174e-05,1.90484570339322e-07,0.0667253555729985,0.152740478515625,0.28448275862069,0.301724137931034,0.275862068965517,0.137931034482759,-0.242424242424242,-0.308225108225108,0,0.0060606060606061,0.0587695133149679,0.0950027173403797,0,3.67309458218554e-05,1,0,0,0,1,0,1,1,1,1,0,0.571428571428571,0.333333333333333,0,1,1,1,0.6,0,0.6,1,1,0,0.285714285714286,1,1,0,0.625,0,0,1,0.6
"4144",16,0,143,27,"4","3",1,3,2,4,0.733333333333333,0.866666666666667,0.666666666666667,0.6,0.848484848484849,0.914285714285714,0.606060606060606,0.476190476190476,1,1,0.2,0.6,2.76295468211174e-05,1.90484570339322e-07,0.0667253555729985,0.116822686190972,0.230769230769231,0.244755244755245,0.230769230769231,0.293706293706294,-0.242424242424242,-0.308225108225108,0,0.12987012987013,0.0587695133149679,0.0950027173403797,0,0.0168662506324844,0,0,0,1,1,0,1,1,1,1,0,0.571428571428571,0.333333333333333,0,1,1,1,0.6,0,0.6,1,1,0,0.285714285714286,1,1,0,0.625,0,0,1,0.6
"4155",16,0,154,11,"3","2",1,3,2,4,0.733333333333333,0.866666666666667,0.666666666666667,0.6,0.848484848484849,0.914285714285714,0.590909090909091,0.476190476190476,1,1,0.6,0.6,2.76295468211174e-05,1.90484570339322e-07,0.0585220446375843,0.116822686190972,0.214285714285714,0.233766233766234,0.279220779220779,0.272727272727273,-0.257575757575758,-0.323376623376623,0,0.114718614718615,0.0663452708907254,0.104572440546466,0,0.013160360562958,0,0,1,0,1,0,1,1,1,1,0,0.571428571428571,0.333333333333333,0,1,1,1,0.6,0,0.6,1,1,0,0.285714285714286,1,1,0,0.625,0,0,1,0.6
"4193",16,0,192,38,"2","1",1,3,2,4,0.733333333333333,0.866666666666667,0.666666666666667,0.6,0.848484848484849,0.904109589041096,0.590909090909091,0.476190476190476,1,0.8,0.6,0.6,2.76295468211174e-05,1.72513994615883e-13,0.0585220446375843,0.116822686190972,0.177083333333333,0.380208333333333,0.223958333333333,0.21875,-0.257575757575758,-0.313200498132005,0,0.114718614718615,0.0663452708907254,0.098094552030136,0,0.013160360562958,0,1,0,0,1,0,1,1,1,1,0,0.571428571428571,0.333333333333333,0,1,1,1,0.6,0,0.6,1,1,0,0.285714285714286,1,1,0,0.625,0,0,1,0.6
"4227",16,0,226,34,"1","4",1,3,2,4,0.733333333333333,0.866666666666667,0.666666666666667,0.6,0.880597014925373,0.904109589041096,0.590909090909091,0.476190476190476,1,0.8,0.6,0.6,4.41972410817996e-11,1.72513994615883e-13,0.0585220446375843,0.116822686190972,0.29646017699115,0.323008849557522,0.190265486725664,0.190265486725664,-0.289687924016282,-0.313200498132005,0,0.114718614718615,0.0839190933208633,0.098094552030136,0,0.013160360562958,1,0,0,0,1,0,1,1,1,1,0,0.571428571428571,0.333333333333333,0,1,1,1,0.6,0,0.6,1,1,0,0.285714285714286,1,1,0,0.625,0,0,1,0.6
"4255",16,0,254,28,"4","1",1,3,2,4,0.733333333333333,0.866666666666667,0.666666666666667,0.6,0.880597014925373,0.904109589041096,0.590909090909091,0.557142857142857,1,0.8,0.6,0.6,4.41972410817996e-11,1.72513994615883e-13,0.0585220446375843,0.0604920766262119,0.267716535433071,0.28740157480315,0.169291338582677,0.275590551181102,-0.289687924016282,-0.313200498132005,0,0.0337662337662338,0.0839190933208633,0.098094552030136,0,0.00114015854275595,0,0,0,1,1,0,1,1,1,1,0,0.571428571428571,0.333333333333333,0,1,1,1,0.6,0,0.6,1,1,0,0.285714285714286,1,1,0,0.625,0,0,1,0.6
"4352",17,0,101,41,"2","4",3,4,1,2,0.533333333333333,0.933333333333333,0.333333333333333,0.466666666666667,0.533333333333333,0.910714285714286,0.333333333333333,0.466666666666667,0.6,1,0.6,0.6,0.196380615234375,5.30105959128946e-11,0.091644287109375,0.196380615234375,0.148514851485149,0.544554455445545,0.148514851485149,0.158415841584158,0,-0.377380952380952,0.2,0.0666666666666667,0,0.142416383219955,0.04,0.00444444444444444,0,1,0,0,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.285714285714286,0,1,0.428571428571429,0.5,0,0,1,0.8,1,0,0.6,0.666666666666667,1,0,0,0.5,0,1,0.5
"4382",17,0,131,30,"4","1",3,4,1,2,0.533333333333333,0.933333333333333,0.333333333333333,0.466666666666667,0.533333333333333,0.910714285714286,0.333333333333333,0.577777777777778,0.6,1,0.6,0.6,0.196380615234375,5.30105959128946e-11,0.091644287109375,0.0693024212813498,0.122137404580153,0.419847328244275,0.114503816793893,0.343511450381679,0.0444444444444444,-0.332936507936508,0.244444444444444,0,0.0019753086419753,0.110846718316956,0.0597530864197531,0,0,0,0,1,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.285714285714286,0,1,0.428571428571429,0.5,0,0,1,0.8,1,0,0.6,0.666666666666667,1,0,0,0.5,0,1,0.5
"4419",17,0,168,37,"1","3",3,4,1,2,0.533333333333333,0.933333333333333,0.333333333333333,0.466666666666667,0.711538461538462,0.910714285714286,0.333333333333333,0.577777777777778,1,1,0.6,0.6,0.000995066563884706,5.30105959128946e-11,0.091644287109375,0.0693024212813498,0.30952380952381,0.327380952380952,0.0952380952380952,0.267857142857143,-0.133760683760684,-0.332936507936508,0.244444444444444,0,0.0178919205201257,0.110846718316956,0.0597530864197531,0,1,0,0,0,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.285714285714286,0,1,0.428571428571429,0.5,0,0,1,0.8,1,0,0.6,0.666666666666667,1,0,0,0.5,0,1,0.5
"4428",17,0,177,9,"3","4",3,4,1,2,0.533333333333333,0.933333333333333,0.333333333333333,0.466666666666667,0.711538461538462,0.910714285714286,0.375,0.577777777777778,1,1,0.4,0.6,0.000995066563884706,5.30105959128946e-11,0.0779333114624023,0.0693024212813498,0.293785310734463,0.310734463276836,0.135593220338983,0.259887005649718,-0.133760683760684,-0.332936507936508,0.202777777777778,0,0.0178919205201257,0.110846718316956,0.0411188271604938,0,0,0,1,0,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.285714285714286,0,1,0.428571428571429,0.5,0,0,1,0.8,1,0,0.6,0.666666666666667,1,0,0,0.5,0,1,0.5
"4432",17,0,181,4,"4","2",3,4,1,2,0.533333333333333,0.933333333333333,0.333333333333333,0.466666666666667,0.711538461538462,0.910714285714286,0.375,0.571428571428571,1,1,0.4,0.5,0.000995066563884706,5.30105959128946e-11,0.0779333114624023,0.0693665901899436,0.287292817679558,0.30939226519337,0.132596685082873,0.270718232044199,-0.14010989010989,-0.339285714285714,0.196428571428571,0,0.0196307813066055,0.115114795918367,0.0385841836734694,0,0,0,0,1,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.285714285714286,0,1,0.428571428571429,0.5,0,0,1,0.8,1,0,0.6,0.666666666666667,1,0,0,0.5,0,1,0.5
"4473",17,0,222,41,"2","4",3,4,1,2,0.533333333333333,0.933333333333333,0.333333333333333,0.466666666666667,0.711538461538462,0.896907216494845,0.375,0.571428571428571,1,1,0.4,0.5,0.000995066563884706,7.93686823499896e-17,0.0779333114624023,0.0693665901899436,0.234234234234234,0.432432432432432,0.108108108108108,0.225225225225225,-0.14010989010989,-0.325478645066274,0.196428571428571,0,0.0196307813066055,0.105936348394178,0.0385841836734694,0,0,1,0,0,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.285714285714286,0,1,0.428571428571429,0.5,0,0,1,0.8,1,0,0.6,0.666666666666667,1,0,0,0.5,0,1,0.5
"4508",17,0,257,35,"4","1",3,4,1,2,0.533333333333333,0.933333333333333,0.333333333333333,0.466666666666667,0.711538461538462,0.896907216494845,0.375,0.547619047619048,1,1,0.4,0.2,0.000995066563884706,7.93686823499896e-17,0.0779333114624023,0.0595352489272966,0.206225680933852,0.373540856031128,0.0933852140077821,0.326848249027237,-0.163919413919414,-0.349288168875798,0.172619047619048,0,0.0268695742596841,0.122002224916608,0.029797335600907,0,0,0,0,1,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.285714285714286,0,1,0.428571428571429,0.5,0,0,1,0.8,1,0,0.6,0.666666666666667,1,0,0,0.5,0,1,0.5
"4551",17,0,300,43,"1","2",3,4,1,2,0.533333333333333,0.933333333333333,0.333333333333333,0.466666666666667,0.778947368421053,0.896907216494845,0.375,0.547619047619048,1,1,0.4,0.2,1.54296280413698e-08,7.93686823499896e-17,0.0779333114624023,0.0595352489272966,0.316666666666667,0.323333333333333,0.08,0.28,-0.231328320802005,-0.349288168875798,0.172619047619048,0,0.0535127920050753,0.122002224916608,0.029797335600907,0,1,0,0,0,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.285714285714286,0,1,0.428571428571429,0.5,0,0,1,0.8,1,0,0.6,0.666666666666667,1,0,0,0.5,0,1,0.5
"4556",17,0,305,5,"2","4",3,4,1,2,0.533333333333333,0.933333333333333,0.333333333333333,0.466666666666667,0.778947368421053,0.892156862745098,0.375,0.547619047619048,1,0.8,0.4,0.2,1.54296280413698e-08,3.51344162446665e-17,0.0779333114624023,0.0595352489272966,0.311475409836066,0.331147540983607,0.0786885245901639,0.278688524590164,-0.231328320802005,-0.34453781512605,0.172619047619048,0,0.0535127920050753,0.118706306051832,0.029797335600907,0,0,1,0,0,0.666666666666667,0,0.666666666666667,1,0.666666666666667,0,0.333333333333333,1,0.285714285714286,0,1,0.428571428571429,0.5,0,0,1,0.8,1,0,0.6,0.666666666666667,1,0,0,0.5,0,1,0.5
"4636",18,0,135,75,"2","1",1,4,3,2,0.533333333333333,0.8,0.6,0.333333333333333,0.533333333333333,0.955555555555556,0.6,0.333333333333333,0.4,1,0.4,0.6,0.196380615234375,2.06406604432556e-21,0.152740478515625,0.091644287109375,0.118518518518519,0.659259259259259,0.111111111111111,0.111111111111111,0.0666666666666667,-0.355555555555556,0,0.266666666666667,0.00444444444444444,0.12641975308642,0,0.0711111111111111,0,1,0,0,0.666666666666667,1,0,0.333333333333333,1,1,0.166666666666667,0,0.166666666666667,0,0.833333333333333,1,0.444444444444444,1,0,0,1,1,0,0.111111111111111,1,1,0,0,0,0,1,1
"4722",18,0,221,86,"1","4",1,4,3,2,0.533333333333333,0.8,0.6,0.333333333333333,0.900990099009901,0.955555555555556,0.6,0.333333333333333,1,1,0.4,0.6,7.57801134688886e-18,2.06406604432556e-21,0.152740478515625,0.091644287109375,0.457013574660633,0.402714932126697,0.0678733031674208,0.0723981900452489,-0.300990099009901,-0.355555555555556,0,0.266666666666667,0.09059503970199,0.12641975308642,0,0.0711111111111111,1,0,0,0,0.666666666666667,1,0,0.333333333333333,1,1,0.166666666666667,0,0.166666666666667,0,0.833333333333333,1,0.444444444444444,1,0,0,1,1,0,0.111111111111111,1,1,0,0,0,0,1,1
"4724",18,0,223,2,"4","3",1,4,3,2,0.533333333333333,0.8,0.6,0.333333333333333,0.900990099009901,0.955555555555556,0.6,0.294117647058824,1,1,0.4,0,7.57801134688886e-18,2.06406604432556e-21,0.152740478515625,0.047210693359375,0.452914798206278,0.399103139013453,0.0717488789237668,0.0762331838565022,-0.300990099009901,-0.355555555555556,0,0.305882352941176,0.09059503970199,0.12641975308642,0,0.0935640138408304,0,0,0,1,0.666666666666667,1,0,0.333333333333333,1,1,0.166666666666667,0,0.166666666666667,0,0.833333333333333,1,0.444444444444444,1,0,0,1,1,0,0.111111111111111,1,1,0,0,0,0,1,1
"4726",18,0,225,2,"3","2",1,4,3,2,0.533333333333333,0.8,0.6,0.333333333333333,0.900990099009901,0.955555555555556,0.588235294117647,0.294117647058824,1,1,0.5,0,7.57801134688886e-18,2.06406604432556e-21,0.14837646484375,0.047210693359375,0.448888888888889,0.4,0.0755555555555556,0.0755555555555556,-0.312754804892254,-0.367320261437909,0,0.294117647058824,0.0978155679831918,0.134924174462813,0,0.0865051903114187,0,0,1,0,0.666666666666667,1,0,0.333333333333333,1,1,0.166666666666667,0,0.166666666666667,0,0.833333333333333,1,0.444444444444444,1,0,0,1,1,0,0.111111111111111,1,1,0,0,0,0,1,1
"4766",18,0,265,40,"2","1",1,4,3,2,0.533333333333333,0.8,0.6,0.333333333333333,0.900990099009901,0.969230769230769,0.588235294117647,0.294117647058824,1,1,0.5,0,7.57801134688886e-18,8.34518704479267e-33,0.14837646484375,0.047210693359375,0.384905660377359,0.486792452830189,0.0641509433962264,0.0641509433962264,-0.312754804892254,-0.380995475113122,0,0.294117647058824,0.0978155679831918,0.145157552056674,0,0.0865051903114187,0,1,0,0,0.666666666666667,1,0,0.333333333333333,1,1,0.166666666666667,0,0.166666666666667,0,0.833333333333333,1,0.444444444444444,1,0,0,1,1,0,0.111111111111111,1,1,0,0,0,0,1,1
"4804",18,0,303,38,"1","2",1,4,3,2,0.533333333333333,0.8,0.6,0.333333333333333,0.913669064748201,0.969230769230769,0.588235294117647,0.294117647058824,0.8,1,0.5,0,9.56148763524423e-26,8.34518704479267e-33,0.14837646484375,0.047210693359375,0.458745874587459,0.429042904290429,0.0561056105610561,0.0561056105610561,-0.325433770630554,-0.380995475113122,0,0.294117647058824,0.10590713906682,0.145157552056674,0,0.0865051903114187,1,0,0,0,0.666666666666667,1,0,0.333333333333333,1,1,0.166666666666667,0,0.166666666666667,0,0.833333333333333,1,0.444444444444444,1,0,0,1,1,0,0.111111111111111,1,1,0,0,0,0,1,1
"4831",19,0,80,20,"3","4",4,1,3,2,0.866666666666667,0.733333333333333,0.666666666666667,0.4,0.866666666666667,0.733333333333333,0.742857142857143,0.4,1,0.8,1,0.6,0.003204345703125,0.041656494140625,0.00205494754482061,0.152740478515625,0.1875,0.1875,0.425,0.2,-0.133333333333333,0,-0.0095238095238096,0.333333333333333,0.0177777777777778,0,9.07029478458065e-05,0.111111111111111,0,0,1,0,0,0.666666666666667,1,1,0.8,0.8,1,0,0,0,0.6,1,1,1,0.333333333333333,0,1,1,0.777777777777778,0,1,1,0.777777777777778,0,0,0,1,0
"4833",19,0,82,2,"4","1",4,1,3,2,0.866666666666667,0.733333333333333,0.666666666666667,0.4,0.866666666666667,0.733333333333333,0.742857142857143,0.352941176470588,1,0.8,1,0,0.003204345703125,0.041656494140625,0.00205494754482061,0.09442138671875,0.195121951219512,0.182926829268293,0.414634146341463,0.207317073170732,-0.133333333333333,0,-0.0095238095238096,0.380392156862745,0.0177777777777778,0,9.07029478458065e-05,0.144698193002691,0,0,0,1,0,0.666666666666667,1,1,0.8,0.8,1,0,0,0,0.6,1,1,1,0.333333333333333,0,1,1,0.777777777777778,0,1,1,0.777777777777778,0,0,0,1,0
"4854",19,0,103,21,"1","2",4,1,3,2,0.866666666666667,0.733333333333333,0.666666666666667,0.4,0.861111111111111,0.733333333333333,0.742857142857143,0.352941176470588,0.8,0.8,1,0,5.48595562577248e-06,0.041656494140625,0.00205494754482061,0.09442138671875,0.349514563106796,0.155339805825243,0.330097087378641,0.16504854368932,-0.127777777777778,0,-0.0095238095238096,0.380392156862745,0.0163271604938272,0,9.07029478458065e-05,0.144698193002691,1,0,0,0,0,0.666666666666667,1,1,0.8,0.8,1,0,0,0,0.6,1,1,1,0.333333333333333,0,1,1,0.777777777777778,0,1,1,0.777777777777778,0,0,0,1,0
"4875",19,0,124,21,"2","4",4,1,3,2,0.866666666666667,0.733333333333333,0.666666666666667,0.4,0.861111111111111,0.75,0.742857142857143,0.352941176470588,0.8,1,1,0,5.48595562577248e-06,0.0013699650298804,0.00205494754482061,0.09442138671875,0.290322580645161,0.290322580645161,0.274193548387097,0.145161290322581,-0.508169934640523,-0.397058823529412,-0.389915966386555,0,0.258236682472553,0.157655709342561,0.152034460843161,0,0,1,0,0,0,0.666666666666667,1,1,0.8,0.8,1,0,0,0,0.6,1,1,1,0.333333333333333,0,1,1,0.777777777777778,0,1,1,0.777777777777778,0,0,0,1,0
"4883",19,0,132,8,"4","1",4,1,3,2,0.866666666666667,0.733333333333333,0.666666666666667,0.4,0.861111111111111,0.75,0.742857142857143,0.4,0.8,1,1,0.6,5.48595562577248e-06,0.0013699650298804,0.00205494754482061,0.0974166393280029,0.28030303030303,0.272727272727273,0.257575757575758,0.189393939393939,-0.461111111111111,-0.35,-0.342857142857143,0,0.212623456790123,0.1225,0.117551020408163,0,0,0,0,1,0,0.666666666666667,1,1,0.8,0.8,1,0,0,0,0.6,1,1,1,0.333333333333333,0,1,1,0.777777777777778,0,1,1,0.777777777777778,0,0,0,1,0
"4939",19,0,188,56,"1","2",4,1,3,2,0.866666666666667,0.733333333333333,0.666666666666667,0.4,0.847826086956522,0.75,0.742857142857143,0.4,0.6,1,1,0.6,2.54440600752582e-12,0.0013699650298804,0.00205494754482061,0.0974166393280029,0.48936170212766,0.196808510638298,0.180851063829787,0.132978723404255,-0.447826086956522,-0.35,-0.342857142857143,0,0.20054820415879,0.1225,0.117551020408163,0,1,0,0,0,0,0.666666666666667,1,1,0.8,0.8,1,0,0,0,0.6,1,1,1,0.333333333333333,0,1,1,0.777777777777778,0,1,1,0.777777777777778,0,0,0,1,0
"5077",20,0,76,16,"2","3",2,1,4,3,0.733333333333333,0.8,0.533333333333333,0.8,0.733333333333333,0.903225806451613,0.533333333333333,0.8,0.8,1,0.6,1,0.041656494140625,2.09314748644829e-06,0.196380615234375,0.013885498046875,0.197368421052632,0.394736842105263,0.210526315789474,0.197368421052632,0.0666666666666668,-0.103225806451613,0.266666666666667,0,0.00444444444444446,0.0106555671175858,0.0711111111111111,0,0,1,0,0,0.5,0,1,0.5,1,1,0,0.166666666666667,0,0.428571428571429,1,1,1,0.666666666666667,0,0.333333333333333,1,0.8,0,0.2,1,1,0,0.142857142857143,0,0,1,1
"5101",20,0,100,24,"3","4",2,1,4,3,0.733333333333333,0.8,0.533333333333333,0.8,0.733333333333333,0.903225806451613,0.538461538461538,0.8,0.8,1,0.4,1,0.041656494140625,2.09314748644829e-06,0.113430622132,0.013885498046875,0.15,0.3,0.39,0.16,0.0666666666666668,-0.103225806451613,0.261538461538462,0,0.00444444444444446,0.0106555671175858,0.0684023668639054,0,0,0,1,0,0.5,0,1,0.5,1,1,0,0.166666666666667,0,0.428571428571429,1,1,1,0.666666666666667,0,0.333333333333333,1,0.8,0,0.2,1,1,0,0.142857142857143,0,0,1,1
"5122",20,0,121,21,"4","1",2,1,4,3,0.733333333333333,0.8,0.533333333333333,0.8,0.733333333333333,0.903225806451613,0.538461538461538,0.638888888888889,0.8,1,0.4,0.8,0.041656494140625,2.09314748644829e-06,0.113430622132,0.0336264143697917,0.132231404958678,0.247933884297521,0.322314049586777,0.297520661157025,0,-0.16989247311828,0.194871794871795,0.0944444444444444,0,0.0288634524222454,0.0379750164365549,0.00891975308641975,0,0,0,1,0.5,0,1,0.5,1,1,0,0.166666666666667,0,0.428571428571429,1,1,1,0.666666666666667,0,0.333333333333333,1,0.8,0,0.2,1,1,0,0.142857142857143,0,0,1,1
"5139",20,0,138,17,"1","2",2,1,4,3,0.733333333333333,0.8,0.533333333333333,0.8,0.84375,0.903225806451613,0.538461538461538,0.638888888888889,1,1,0.4,0.8,4.68865036964417e-05,2.09314748644829e-06,0.113430622132,0.0336264143697917,0.231884057971014,0.22463768115942,0.282608695652174,0.260869565217391,-0.204861111111111,-0.264336917562724,0.10042735042735,0,0.041968074845679,0.0698740059865624,0.0100856527138578,0,1,0,0,0,0.5,0,1,0.5,1,1,0,0.166666666666667,0,0.428571428571429,1,1,1,0.666666666666667,0,0.333333333333333,1,0.8,0,0.2,1,1,0,0.142857142857143,0,0,1,1
"5143",20,0,142,4,"2","3",2,1,4,3,0.733333333333333,0.8,0.533333333333333,0.8,0.84375,0.914285714285714,0.538461538461538,0.638888888888889,1,1,0.4,0.8,4.68865036964417e-05,1.90484570339322e-07,0.113430622132,0.0336264143697917,0.225352112676056,0.23943661971831,0.28169014084507,0.253521126760563,-0.204861111111111,-0.275396825396825,0.10042735042735,0,0.041968074845679,0.0758434114386495,0.0100856527138578,0,0,1,0,0,0.5,0,1,0.5,1,1,0,0.166666666666667,0,0.428571428571429,1,1,1,0.666666666666667,0,0.333333333333333,1,0.8,0,0.2,1,1,0,0.142857142857143,0,0,1,1
