,tid,lrn,Freq
1,1,1,15
2,2,1,18
3,3,1,27
4,4,1,32
5,1,2,32
6,2,2,25
7,3,2,19
8,4,2,16
9,1,3,28
10,2,3,21
11,3,3,26
12,4,3,17
13,1,4,17
14,2,4,28
15,3,4,20
16,4,4,27
