,grp,sid,pre,post
0,0,0,0.5,0.9666666666666667
1,0,1,0.7222222222222221,0.7888888888888889
2,0,2,0.4888888888888889,0.4888888888888889
3,0,3,0.8666666666666667,0.9555555555555555
4,0,4,0.5888888888888888,0.7333333333333333
5,0,5,0.6333333333333333,0.7111111111111111
6,0,6,0.7,0.9333333333333333
7,0,7,0.6666666666666666,0.7888888888888889
8,0,8,0.6333333333333333,0.6888888888888889
9,0,9,0.6444444444444444,0.7777777777777777
10,0,10,0.5222222222222221,0.6555555555555554
11,0,11,0.711111111111111,0.9444444444444444
12,0,12,0.6,0.7666666666666666
13,0,13,0.4555555555555555,0.5777777777777777
14,0,14,0.4222222222222222,0.42222222222222217
15,0,15,0.47777777777777775,0.7
16,0,16,0.7777777777777777,0.6777777777777778
17,0,17,0.5444444444444444,0.6888888888888889
18,0,18,0.6555555555555554,0.7777777777777777
19,0,19,0.6888888888888889,0.9
20,0,20,0.6555555555555554,0.8777777777777778
21,0,21,0.5555555555555555,0.4111111111111111
22,0,22,0.5333333333333333,0.39999999999999997
23,0,23,0.43333333333333335,0.6
24,0,24,0.7444444444444445,0.7222222222222221
25,0,25,0.6777777777777778,0.8
26,0,26,0.7888888888888889,0.7555555555555555
27,0,27,0.7444444444444445,0.6111111111111112
28,0,28,0.6111111111111112,0.8666666666666667
29,0,29,0.7333333333333334,0.7333333333333334
30,0,30,0.7555555555555555,0.7666666666666666
31,0,31,0.5333333333333333,0.7444444444444445
32,0,32,0.6444444444444444,0.8444444444444443
33,0,33,0.6888888888888889,0.8
34,0,34,0.7,0.6444444444444444
35,0,35,0.8333333333333334,0.7444444444444445
36,0,36,0.5888888888888888,0.7333333333333333
37,0,37,0.5222222222222221,0.8444444444444443
38,0,38,0.5555555555555556,0.5333333333333333
39,0,39,0.43333333333333324,0.6888888888888889
40,0,40,0.24444444444444444,0.5777777777777777
41,0,41,0.5666666666666667,0.6666666666666666
42,0,42,0.6666666666666666,0.7222222222222221
43,0,43,0.6222222222222222,0.6444444444444444
44,0,44,0.7222222222222221,0.8444444444444444
45,0,45,0.711111111111111,0.7222222222222222
46,0,46,0.4666666666666667,0.7444444444444445
47,0,47,0.5555555555555556,0.6
48,0,48,0.8444444444444443,0.8222222222222222
49,0,49,0.5999999999999999,0.6777777777777778
50,0,50,0.6666666666666666,0.9555555555555555
51,0,51,0.5111111111111111,0.5888888888888888
52,0,52,0.6333333333333333,0.7555555555555555
53,0,53,0.45555555555555555,0.8666666666666667
54,0,54,0.5,0.8777777777777778
55,0,55,0.6222222222222222,0.7777777777777777
56,0,56,0.6888888888888889,0.9222222222222223
57,0,57,0.4888888888888888,0.6666666666666666
58,0,58,0.7111111111111111,0.7333333333333332
59,0,59,0.5111111111111111,0.7
60,0,60,0.7444444444444445,0.8222222222222222
61,0,61,0.8222222222222222,0.8444444444444444
62,0,62,0.45555555555555555,0.6777777777777778
63,0,63,0.7777777777777778,0.9333333333333333
64,0,64,0.6666666666666667,0.7333333333333334
65,0,65,0.4666666666666667,0.8111111111111111
66,0,66,0.6111111111111112,0.8
67,0,67,0.5444444444444444,0.7777777777777777
68,0,68,0.6333333333333333,0.9333333333333333
69,0,69,0.5777777777777777,0.4888888888888888
70,0,70,0.6222222222222222,0.7333333333333334
71,0,71,0.6444444444444444,0.7333333333333333
72,0,72,0.5555555555555556,0.7222222222222221
73,0,73,0.5111111111111111,0.6
74,0,74,0.6222222222222222,0.6111111111111112
