sid,grp,cnd,range,rpc,rdpc
126,0,1,7.00000000,-0.80000000,-0.20000000
127,0,0,6.00000000,0.00000000,0.00000000
128,0,1,2.00000000,-0.20000000,-0.40000000
129,0,1,5.00000000,-1.00000000,0.60000000
130,0,1,9.00000000,-0.80000000,0.00000000
131,0,1,5.00000000,-0.80000000,-1.00000000
132,0,0,8.00000000,-1.00000000,-1.00000000
133,0,0,6.00000000,-1.00000000,-0.80000000
134,0,1,7.00000000,-0.60000000,-0.20000000
135,0,1,6.00000000,0.80000000,0.00000000
136,0,1,9.00000000,-0.80000000,-0.60000000
137,0,1,3.00000000,0.20000000,0.20000000
138,0,1,3.00000000,-0.80000000,-0.20000000
139,0,1,4.00000000,-0.80000000,-0.60000000
140,0,1,3.00000000,0.20000000,-0.60000000
141,0,1,3.00000000,0.80000000,0.80000000
142,0,0,5.00000000,0.00000000,0.00000000
143,0,0,8.00000000,-0.80000000,0.40000000
144,0,1,5.00000000,0.00000000,0.00000000
145,0,1,5.00000000,-0.40000000,-0.80000000
146,0,0,8.00000000,-0.80000000,0.20000000
147,0,0,4.00000000,-1.00000000,0.00000000
148,0,0,7.00000000,-0.80000000,-0.40000000
149,0,1,2.00000000,0.00000000,0.00000000
150,0,0,7.00000000,-0.20000000,0.80000000
151,0,1,7.00000000,-1.00000000,-0.60000000
152,0,0,2.00000000,-0.40000000,0.80000000
153,0,1,7.00000000,-0.40000000,0.80000000
154,1,1,8.00000000,-0.20000000,-0.60000000
155,1,1,6.00000000,0.00000000,0.00000000
156,1,0,3.00000000,-0.40000000,-0.20000000
157,1,1,8.00000000,-0.20000000,1.00000000
158,1,0,4.00000000,0.00000000,0.00000000
159,1,0,4.00000000,0.00000000,0.00000000
160,1,1,4.00000000,0.00000000,0.00000000
161,1,0,5.00000000,-1.00000000,0.40000000
162,1,1,11.00000000,0.80000000,-0.40000000
163,1,1,7.00000000,-1.00000000,-0.80000000
164,1,1,10.00000000,-0.80000000,0.60000000
165,1,0,6.00000000,-1.00000000,-0.40000000
166,1,0,6.00000000,-0.40000000,0.80000000
167,1,0,3.00000000,0.00000000,0.00000000
168,1,0,5.00000000,-0.80000000,-0.80000000
169,1,1,6.00000000,-1.00000000,-0.40000000
170,1,0,7.00000000,0.00000000,0.00000000
171,1,1,9.00000000,-0.80000000,-0.80000000
172,1,1,5.00000000,0.00000000,0.00000000
173,1,0,7.00000000,0.00000000,0.00000000
174,1,1,6.00000000,-1.00000000,0.80000000
175,1,1,5.00000000,-0.80000000,-0.80000000
176,1,1,2.00000000,-0.80000000,0.40000000
177,1,0,9.00000000,0.40000000,0.40000000
178,1,0,3.00000000,0.00000000,0.00000000
179,1,1,4.00000000,-1.00000000,-0.40000000
180,1,1,4.00000000,0.00000000,0.00000000
181,1,0,5.00000000,0.00000000,0.00000000
182,1,1,6.00000000,0.00000000,0.00000000
183,1,1,4.00000000,-0.20000000,-0.80000000
184,1,0,4.00000000,0.00000000,0.00000000
185,1,1,10.00000000,-0.40000000,-0.80000000
186,1,1,6.00000000,0.00000000,-0.80000000
187,1,0,2.00000000,-0.60000000,-0.20000000
188,1,1,6.00000000,1.00000000,0.00000000
189,1,1,6.00000000,-1.00000000,0.00000000
190,1,0,7.00000000,0.00000000,0.00000000
191,1,0,2.00000000,-0.80000000,-0.80000000
192,1,0,5.00000000,0.00000000,0.00000000
193,1,1,5.00000000,-0.80000000,-0.80000000
194,1,0,7.00000000,-0.80000000,0.40000000
195,1,1,11.00000000,1.00000000,0.40000000
196,1,0,6.00000000,-1.00000000,0.00000000
197,1,1,10.00000000,-1.00000000,-0.40000000
198,1,0,6.00000000,-0.80000000,-0.20000000
199,1,1,10.00000000,-0.80000000,-0.80000000
200,1,0,4.00000000,-0.60000000,-0.80000000
201,1,1,4.00000000,0.00000000,0.00000000
202,1,0,6.00000000,-1.00000000,-0.80000000
203,1,0,7.00000000,-0.20000000,0.40000000
204,1,0,7.00000000,0.80000000,0.40000000
205,1,1,7.00000000,-1.00000000,0.40000000
206,1,0,3.00000000,0.40000000,-0.80000000
207,1,1,4.00000000,0.00000000,0.00000000
208,1,1,6.00000000,-1.00000000,-0.80000000
209,1,1,3.00000000,-0.80000000,-0.20000000
210,1,0,5.00000000,-0.80000000,1.00000000
211,1,1,4.00000000,0.20000000,0.00000000
212,1,0,9.00000000,-0.80000000,0.60000000
213,1,1,3.00000000,-1.00000000,-1.00000000
214,1,1,9.00000000,0.20000000,0.20000000
215,1,0,5.00000000,0.00000000,0.00000000
216,1,0,4.00000000,-0.40000000,-0.20000000
217,1,0,10.00000000,0.20000000,0.00000000
218,1,0,5.00000000,0.00000000,0.00000000
219,1,0,7.00000000,-0.60000000,0.40000000
220,1,0,2.00000000,-0.20000000,0.60000000
221,1,0,7.00000000,-0.20000000,-0.40000000
222,1,1,3.00000000,-0.80000000,0.00000000
223,1,1,6.00000000,0.20000000,0.20000000
224,1,1,9.00000000,0.00000000,0.00000000
225,1,0,2.00000000,0.00000000,0.00000000
226,1,1,2.00000000,0.00000000,-0.40000000
227,1,0,5.00000000,0.00000000,0.00000000
228,1,1,5.00000000,-0.60000000,0.00000000
229,1,1,6.00000000,0.00000000,0.00000000
230,1,1,5.00000000,-0.20000000,-0.40000000
231,1,0,6.00000000,-0.40000000,0.20000000
232,1,0,8.00000000,0.40000000,0.80000000
233,1,1,6.00000000,-0.60000000,-0.80000000
234,1,1,6.00000000,-0.80000000,0.40000000
235,1,0,3.00000000,1.00000000,0.00000000
236,1,0,3.00000000,-0.80000000,-0.20000000
237,1,0,10.00000000,-0.80000000,0.60000000
238,1,0,2.00000000,-0.80000000,0.40000000
239,1,0,2.00000000,-0.60000000,-0.60000000
240,1,0,7.00000000,-0.80000000,0.80000000
241,1,1,10.00000000,-0.40000000,-0.80000000
242,1,1,4.00000000,0.00000000,0.00000000
243,1,1,9.00000000,-0.80000000,-0.60000000
244,1,0,4.00000000,0.00000000,0.00000000
245,1,0,6.00000000,0.40000000,-0.80000000
246,1,1,4.00000000,0.80000000,0.80000000
247,1,1,4.00000000,0.00000000,0.00000000
248,1,0,7.00000000,-0.60000000,-0.60000000
249,1,0,10.00000000,-1.00000000,-0.40000000
250,1,0,4.00000000,0.00000000,0.00000000
251,1,0,7.00000000,-0.40000000,0.40000000
252,1,0,8.00000000,0.80000000,-0.60000000
253,1,0,7.00000000,-0.80000000,0.60000000
254,1,1,3.00000000,0.00000000,0.00000000
255,1,1,6.00000000,-1.00000000,0.60000000
256,1,1,6.00000000,-1.00000000,-0.60000000
257,1,1,7.00000000,0.80000000,0.00000000
258,1,1,8.00000000,-0.60000000,1.00000000
259,1,1,9.00000000,0.00000000,0.00000000
260,1,1,4.00000000,0.40000000,-0.80000000
261,1,1,4.00000000,0.00000000,0.00000000
262,1,0,7.00000000,-0.40000000,0.40000000
263,1,0,3.00000000,0.40000000,0.20000000
264,1,0,5.00000000,-0.60000000,-0.40000000
265,1,0,4.00000000,0.00000000,0.00000000
266,1,1,2.00000000,0.00000000,0.00000000
267,1,1,6.00000000,-0.80000000,-0.40000000
268,1,1,6.00000000,0.60000000,0.40000000
269,1,0,8.00000000,-0.80000000,-0.80000000
270,1,0,6.00000000,-0.80000000,0.00000000
271,1,1,8.00000000,-0.60000000,-0.80000000
272,1,0,4.00000000,-0.40000000,0.80000000
273,1,0,5.00000000,-1.00000000,-0.80000000
274,1,0,7.00000000,-0.60000000,-0.60000000
275,1,0,4.00000000,-0.40000000,0.00000000
276,1,1,9.00000000,0.00000000,0.00000000
277,1,1,5.00000000,-0.20000000,-1.00000000
278,1,1,12.00000000,-0.40000000,-0.80000000
